Seq_576_LinJ.19,Seq_577_LinJ.19,Seq_578_LinJ.19,Seq_579_LinJ.19,Seq_582_LinJ.19,Seq_583_LinJ.19,,,,,,
Seq_580_LinJ.19,Seq_581_LinJ.19,,,,,,,,,,
Seq_585_LinJ.19,Seq_586_LinJ.19,Seq_588_LinJ.19,Seq_589_LinJ.19,,,,,,,,
Seq_592_LinJ.19,Seq_594_LinJ.19,Seq_595_LinJ.19,Seq_596_LinJ.19,Seq_597_LinJ.19,,,,,,,
Seq_584_LinJ.19,Seq_587_LinJ.19,Seq_590_LinJ.19,Seq_591_LinJ.19,Seq_593_LinJ.19,,,,,,,
Seq_598_LinJ.19,Seq_600_LinJ.19,Seq_601_LinJ.19,Seq_604_LinJ.19,Seq_605_LinJ.19,Seq_606_LinJ.19,Seq_611_LinJ.19,Seq_617_LinJ.19,Seq_620_LinJ.19,Seq_627_LinJ.19,Seq_628_LinJ.19,Seq_629_LinJ.19
Seq_599_LinJ.19,,,,,,,,,,,
Seq_602_LinJ.19,,,,,,,,,,,
Seq_603_LinJ.19,Seq_607_LinJ.19,,,,,,,,,,
Seq_608_LinJ.19,Seq_609_LinJ.19,Seq_612_LinJ.19,Seq_613_LinJ.19,Seq_614_LinJ.19,Seq_615_LinJ.19,,,,,,
Seq_610_LinJ.19,,,,,,,,,,,
Seq_616_LinJ.19,Seq_619_LinJ.19,,,,,,,,,,
Seq_618_LinJ.19,Seq_623_LinJ.19,,,,,,,,,,
Seq_621_LinJ.19,Seq_622_LinJ.19,Seq_624_LinJ.19,Seq_625_LinJ.19,Seq_626_LinJ.19,,,,,,,
