Seq_1804_LinJ.36,Seq_1807_LinJ.36,,,,,,,
Seq_1805_LinJ.36,Seq_1808_LinJ.36,,,,,,,
Seq_1806_LinJ.36,,,,,,,,
Seq_1809_LinJ.36,,,,,,,,
Seq_1810_LinJ.36,,,,,,,,
Seq_1811_LinJ.36,Seq_1812_LinJ.36,Seq_1813_LinJ.36,,,,,,
Seq_1814_LinJ.36,,,,,,,,
Seq_1815_LinJ.36,Seq_1817_LinJ.36,Seq_1818_LinJ.36,Seq_1821_LinJ.36,Seq_1822_LinJ.36,Seq_1824_LinJ.36,Seq_1825_LinJ.36,Seq_1826_LinJ.36,Seq_1828_LinJ.36
Seq_1816_LinJ.36,Seq_1820_LinJ.36,Seq_1823_LinJ.36,,,,,,
Seq_1815_LinJ.36,Seq_1817_LinJ.36,Seq_1821_LinJ.36,Seq_1824_LinJ.36,Seq_1826_LinJ.36,,,,
Seq_1815_LinJ.36,Seq_1818_LinJ.36,Seq_1822_LinJ.36,Seq_1825_LinJ.36,Seq_1826_LinJ.36,Seq_1828_LinJ.36,,,
Seq_1819_LinJ.36,,,,,,,,
Seq_1827_LinJ.36,Seq_1829_LinJ.36,Seq_1830_LinJ.36,,,,,,
Seq_1831_LinJ.36,Seq_1832_LinJ.36,,,,,,,
Seq_1833_LinJ.36,Seq_1835_LinJ.36,Seq_1838_LinJ.36,,,,,,
Seq_1834_LinJ.36,,,,,,,,
Seq_1836_LinJ.36,Seq_1837_LinJ.36,Seq_1839_LinJ.36,,,,,,
Seq_1840_LinJ.36,Seq_1842_LinJ.36,Seq_1844_LinJ.36,Seq_1848_LinJ.36,,,,,
Seq_1841_LinJ.36,Seq_1843_LinJ.36,Seq_1845_LinJ.36,Seq_1846_LinJ.36,Seq_1847_LinJ.36,Seq_1849_LinJ.36,,,
Seq_1850_LinJ.36,Seq_1851_LinJ.36,Seq_1853_LinJ.36,,,,,,
Seq_1852_LinJ.36,,,,,,,,
Seq_1854_LinJ.36,,,,,,,,
Seq_1855_LinJ.36,,,,,,,,
Seq_1856_LinJ.36,,,,,,,,
Seq_1857_LinJ.36,Seq_1858_LinJ.36,,,,,,,
Seq_1859_LinJ.36,Seq_1861_LinJ.36,,,,,,,
Seq_1860_LinJ.36,,,,,,,,
Seq_1862_LinJ.36,,,,,,,,
Seq_1863_LinJ.36,Seq_1865_LinJ.36,,,,,,,
Seq_1864_LinJ.36,Seq_1868_LinJ.36,Seq_1869_LinJ.36,,,,,,
Seq_1866_LinJ.36,Seq_1867_LinJ.36,,,,,,,
Seq_1870_LinJ.36,,,,,,,,
Seq_1871_LinJ.36,Seq_1873_LinJ.36,,,,,,,
Seq_1872_LinJ.36,,,,,,,,
Seq_1874_LinJ.36,Seq_1875_LinJ.36,Seq_1876_LinJ.36,Seq_1877_LinJ.36,,,,,
Seq_1878_LinJ.36,,,,,,,,
Seq_1879_LinJ.36,,,,,,,,
Seq_1880_LinJ.36,,,,,,,,
Seq_1881_LinJ.36,,,,,,,,
Seq_1882_LinJ.36,,,,,,,,
Seq_1883_LinJ.36,,,,,,,,
