Seq_849_LinJ.24,,,,,,,,,,,,,
Seq_850_LinJ.24,Seq_851_LinJ.24,,,,,,,,,,,,
Seq_852_LinJ.24,Seq_856_LinJ.24,Seq_858_LinJ.24,Seq_859_LinJ.24,Seq_861_LinJ.24,Seq_862_LinJ.24,,,,,,,,
Seq_853_LinJ.24,Seq_855_LinJ.24,Seq_860_LinJ.24,,,,,,,,,,,
Seq_854_LinJ.24,,,,,,,,,,,,,
Seq_857_LinJ.24,,,,,,,,,,,,,
Seq_863_LinJ.24,,,,,,,,,,,,,
Seq_864_LinJ.24,Seq_891_LinJ.24,,,,,,,,,,,,
Seq_865_LinJ.24,,,,,,,,,,,,,
Seq_866_LinJ.24,Seq_867_LinJ.24,Seq_868_LinJ.24,Seq_869_LinJ.24,,,,,,,,,,
Seq_870_LinJ.24,Seq_871_LinJ.24,Seq_872_LinJ.24,Seq_873_LinJ.24,Seq_874_LinJ.24,Seq_875_LinJ.24,Seq_876_LinJ.24,Seq_877_LinJ.24,Seq_878_LinJ.24,Seq_880_LinJ.24,Seq_881_LinJ.24,Seq_883_LinJ.24,Seq_884_LinJ.24,Seq_885_LinJ.24
Seq_879_LinJ.24,,,,,,,,,,,,,
Seq_882_LinJ.24,,,,,,,,,,,,,
Seq_886_LinJ.24,,,,,,,,,,,,,
Seq_887_LinJ.24,Seq_889_LinJ.24,,,,,,,,,,,,
Seq_888_LinJ.24,Seq_890_LinJ.24,Seq_893_LinJ.24,,,,,,,,,,,
Seq_892_LinJ.24,Seq_894_LinJ.24,,,,,,,,,,,,
Seq_895_LinJ.24,,,,,,,,,,,,,
Seq_896_LinJ.24,Seq_897_LinJ.24,Seq_898_LinJ.24,Seq_899_LinJ.24,,,,,,,,,,
Seq_900_LinJ.24,Seq_901_LinJ.24,Seq_902_LinJ.24,Seq_903_LinJ.24,Seq_904_LinJ.24,,,,,,,,,
