qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_226_LinJ.19,LinJ.19,100.0,745,1,745,360034,360778,0.0,1376.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.732,745,1,745,363616,364360,0.0,1365.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.195,745,1,745,352859,353600,0.0,1339.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.329,745,1,745,353947,354690,0.0,1347.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.732,745,1,745,367200,367944,0.0,1365.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.597,745,1,745,350679,351423,0.0,1360.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.463,745,1,745,349592,350336,0.0,1354.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.463,745,1,745,347417,348161,0.0,1354.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.33,746,1,745,351766,352511,0.0,1349.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.463,745,1,745,348505,349248,0.0,1352.0,745,706124
Seq_226_LinJ.19,LinJ.19,97.734,353,1,353,361122,361474,1.4000000000000001e-173,608.0,745,706124
Seq_226_LinJ.19,LinJ.19,97.734,353,1,353,364704,365056,1.4000000000000001e-173,608.0,745,706124
Seq_226_LinJ.19,LinJ.19,97.734,353,1,353,368288,368640,1.4000000000000001e-173,608.0,745,706124
Seq_226_LinJ.19,LinJ.19,99.401,334,1,334,355034,355367,5.0300000000000005e-173,606.0,745,706124
Seq_226_LinJ.19,LinJ.19,78.365,208,129,334,357352,357557,3.69e-30,132.0,745,706124
Seq_226_LinJ.19,LinJ.07,90.909,33,137,169,413657,413625,0.000495,45.4,745,592866
Seq_226_LinJ.19,LinJ.07,90.909,33,137,169,423608,423576,0.000495,45.4,745,592866
Seq_226_LinJ.19,LinJ.07,90.909,33,137,169,399576,399544,0.000495,45.4,745,592866
Seq_226_LinJ.19,LinJ.21,96.154,26,668,692,326435,326460,0.006,41.7,745,764861
Seq_226_LinJ.19,LinJ.22,100.0,22,598,619,534670,534691,0.006,41.7,745,782154
Seq_226_LinJ.19,LinJ.36,86.842,38,603,640,991092,991126,0.023,39.9,745,2743073
Seq_226_LinJ.19,LinJ.30,86.842,38,690,725,975335,975371,0.023,39.9,745,1353302
Seq_226_LinJ.19,LinJ.01,92.857,28,341,367,195491,195518,0.023,39.9,745,278267
Seq_226_LinJ.19,LinJ.03,95.833,24,420,443,242460,242483,0.023,39.9,745,389657
Seq_226_LinJ.19,LinJ.09,82.609,46,326,370,177310,177266,0.023,39.9,745,581924
Seq_226_LinJ.19,LinJ.29,100.0,20,660,679,1236393,1236412,0.083,38.1,745,1272419
Seq_226_LinJ.19,LinJ.30,100.0,20,601,620,1262991,1262972,0.083,38.1,745,1353302
Seq_226_LinJ.19,LinJ.30,95.833,24,420,443,544936,544958,0.083,38.1,745,1353302
Seq_226_LinJ.19,LinJ.04,80.769,52,17,66,365336,365385,0.083,38.1,745,466507
Seq_226_LinJ.19,LinJ.25,86.111,36,412,447,689526,689493,0.083,38.1,745,895083
Seq_226_LinJ.19,LinJ.12,86.111,36,532,567,92484,92517,0.083,38.1,745,593475
Seq_226_LinJ.19,LinJ.06,90.0,30,77,106,331640,331612,0.083,38.1,745,525234
Seq_226_LinJ.19,LinJ.24,100.0,20,520,539,438433,438452,0.083,38.1,745,863815
Seq_226_LinJ.19,LinJ.36,100.0,19,601,619,1430027,1430009,0.3,36.2,745,2743073
Seq_226_LinJ.19,LinJ.21,100.0,19,601,619,392203,392221,0.3,36.2,745,764861
