qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_672_LinJ.36,LinJ.36,100.0,692,1,692,493637,494328,0.0,1279.0,692,2743073
Seq_672_LinJ.36,LinJ.36,99.483,387,1,387,495128,494742,0.0,704.0,692,2743073
Seq_672_LinJ.36,LinJ.34,95.745,94,63,155,1540487,1540580,9.46e-36,150.0,692,1852095
Seq_672_LinJ.36,LinJ.36,100.0,77,233,309,1058354,1058430,1.58e-33,143.0,692,2743073
Seq_672_LinJ.36,LinJ.36,100.0,39,1,39,571943,571905,2.11e-12,73.1,692,2743073
Seq_672_LinJ.36,LinJ.36,100.0,39,1,39,581456,581418,2.11e-12,73.1,692,2743073
Seq_672_LinJ.36,LinJ.36,100.0,39,1,39,599944,599906,2.11e-12,73.1,692,2743073
Seq_672_LinJ.36,LinJ.36,100.0,39,1,39,513783,513821,2.11e-12,73.1,692,2743073
Seq_672_LinJ.36,LinJ.34,92.105,38,231,267,1540870,1540833,2.74e-06,52.8,692,1852095
Seq_672_LinJ.36,LinJ.24,93.548,31,237,267,211896,211866,0.000128,47.3,692,863815
Seq_672_LinJ.36,LinJ.36,95.455,22,199,219,1481012,1481033,0.99,34.4,692,2743073
Seq_672_LinJ.36,LinJ.19,89.286,28,216,242,300262,300235,0.99,34.4,692,706124
Seq_672_LinJ.36,LinJ.07,85.294,34,198,230,232853,232821,0.99,34.4,692,592866
Seq_672_LinJ.36,LinJ.36,100.0,17,416,432,994539,994555,3.6,32.5,692,2743073
Seq_672_LinJ.36,LinJ.36,100.0,17,215,231,89929,89945,3.6,32.5,692,2743073
Seq_672_LinJ.36,LinJ.24,91.304,23,659,681,352308,352330,3.6,32.5,692,863815
Seq_672_LinJ.36,LinJ.07,100.0,17,216,232,426674,426658,3.6,32.5,692,592866
Seq_672_LinJ.36,LinJ.35,100.0,17,216,232,1504770,1504754,3.6,32.5,692,2019672
Seq_672_LinJ.36,LinJ.32,91.667,24,225,248,277029,277007,3.6,32.5,692,1544760
Seq_672_LinJ.36,LinJ.32,100.0,17,22,38,627030,627014,3.6,32.5,692,1544760
Seq_672_LinJ.36,LinJ.23,91.304,23,399,421,744691,744669,3.6,32.5,692,786683
Seq_672_LinJ.36,LinJ.16,88.462,26,558,583,147377,147402,3.6,32.5,692,688184
Seq_672_LinJ.36,LinJ.16,84.848,33,554,586,385017,384986,3.6,32.5,692,688184
Seq_672_LinJ.36,LinJ.16,84.848,33,554,586,408018,407987,3.6,32.5,692,688184
Seq_672_LinJ.36,LinJ.16,91.304,23,215,237,441967,441989,3.6,32.5,692,688184
Seq_672_LinJ.36,LinJ.08,87.097,31,184,212,57340,57311,3.6,32.5,692,515747
Seq_672_LinJ.36,LinJ.05,95.0,20,193,212,189602,189583,3.6,32.5,692,467714
