Seq_72_LinJ.06,,,,,,,
Seq_73_LinJ.06,Seq_75_LinJ.06,,,,,,
Seq_74_LinJ.06,,,,,,,
Seq_76_LinJ.06,,,,,,,
Seq_77_LinJ.06,,,,,,,
Seq_78_LinJ.06,,,,,,,
Seq_79_LinJ.06,Seq_80_LinJ.06,Seq_81_LinJ.06,Seq_82_LinJ.06,Seq_83_LinJ.06,,,
Seq_84_LinJ.06,,,,,,,
Seq_85_LinJ.06,,,,,,,
Seq_86_LinJ.06,,,,,,,
Seq_87_LinJ.06,Seq_88_LinJ.06,Seq_89_LinJ.06,Seq_91_LinJ.06,Seq_92_LinJ.06,Seq_93_LinJ.06,Seq_94_LinJ.06,Seq_97_LinJ.06
Seq_90_LinJ.06,,,,,,,
Seq_95_LinJ.06,,,,,,,
Seq_96_LinJ.06,,,,,,,
Seq_98_LinJ.06,,,,,,,
Seq_99_LinJ.06,,,,,,,
