Seq_628_LinJ.21,,,,,,,,,,,,,,,,,,,,,,,
Seq_629_LinJ.21,,,,,,,,,,,,,,,,,,,,,,,
Seq_630_LinJ.21,,,,,,,,,,,,,,,,,,,,,,,
Seq_631_LinJ.21,,,,,,,,,,,,,,,,,,,,,,,
Seq_632_LinJ.21,Seq_633_LinJ.21,Seq_633_LinJ.21,Seq_634_LinJ.21,Seq_634_LinJ.21,Seq_635_LinJ.21,Seq_635_LinJ.21,Seq_636_LinJ.21,Seq_637_LinJ.21,Seq_637_LinJ.21,Seq_638_LinJ.21,Seq_639_LinJ.21,Seq_640_LinJ.21,Seq_640_LinJ.21,Seq_641_LinJ.21,Seq_641_LinJ.21,Seq_642_LinJ.21,Seq_642_LinJ.21,Seq_643_LinJ.21,Seq_643_LinJ.21,Seq_644_LinJ.21,Seq_644_LinJ.21,Seq_645_LinJ.21,Seq_645_LinJ.21
Seq_632_LinJ.21,Seq_632_LinJ.21,Seq_633_LinJ.21,Seq_634_LinJ.21,Seq_635_LinJ.21,Seq_636_LinJ.21,Seq_637_LinJ.21,Seq_638_LinJ.21,Seq_639_LinJ.21,Seq_640_LinJ.21,Seq_641_LinJ.21,Seq_642_LinJ.21,Seq_643_LinJ.21,Seq_644_LinJ.21,Seq_645_LinJ.21,Seq_646_LinJ.21,,,,,,,,
Seq_632_LinJ.21,Seq_632_LinJ.21,Seq_633_LinJ.21,Seq_634_LinJ.21,Seq_635_LinJ.21,Seq_636_LinJ.21,Seq_637_LinJ.21,Seq_638_LinJ.21,Seq_639_LinJ.21,Seq_640_LinJ.21,Seq_641_LinJ.21,Seq_642_LinJ.21,Seq_643_LinJ.21,Seq_644_LinJ.21,Seq_645_LinJ.21,,,,,,,,,
Seq_632_LinJ.21,Seq_632_LinJ.21,Seq_633_LinJ.21,Seq_634_LinJ.21,Seq_635_LinJ.21,Seq_636_LinJ.21,Seq_637_LinJ.21,Seq_638_LinJ.21,Seq_639_LinJ.21,Seq_640_LinJ.21,Seq_641_LinJ.21,Seq_642_LinJ.21,Seq_643_LinJ.21,Seq_643_LinJ.21,Seq_644_LinJ.21,Seq_645_LinJ.21,,,,,,,,
Seq_632_LinJ.21,Seq_633_LinJ.21,Seq_634_LinJ.21,Seq_635_LinJ.21,Seq_636_LinJ.21,Seq_637_LinJ.21,Seq_638_LinJ.21,Seq_639_LinJ.21,Seq_640_LinJ.21,Seq_641_LinJ.21,Seq_642_LinJ.21,Seq_643_LinJ.21,Seq_644_LinJ.21,Seq_645_LinJ.21,,,,,,,,,,
Seq_632_LinJ.21,Seq_633_LinJ.21,Seq_634_LinJ.21,Seq_635_LinJ.21,Seq_636_LinJ.21,Seq_637_LinJ.21,Seq_638_LinJ.21,Seq_639_LinJ.21,Seq_640_LinJ.21,Seq_641_LinJ.21,Seq_642_LinJ.21,Seq_643_LinJ.21,Seq_643_LinJ.21,Seq_644_LinJ.21,Seq_645_LinJ.21,,,,,,,,,
Seq_632_LinJ.21,Seq_632_LinJ.21,Seq_633_LinJ.21,Seq_634_LinJ.21,Seq_635_LinJ.21,Seq_635_LinJ.21,Seq_636_LinJ.21,Seq_637_LinJ.21,Seq_637_LinJ.21,Seq_638_LinJ.21,Seq_639_LinJ.21,Seq_639_LinJ.21,Seq_640_LinJ.21,Seq_640_LinJ.21,Seq_641_LinJ.21,Seq_641_LinJ.21,Seq_642_LinJ.21,Seq_642_LinJ.21,Seq_643_LinJ.21,Seq_644_LinJ.21,Seq_644_LinJ.21,Seq_645_LinJ.21,Seq_645_LinJ.21,
Seq_633_LinJ.21,Seq_646_LinJ.21,,,,,,,,,,,,,,,,,,,,,,
Seq_647_LinJ.21,,,,,,,,,,,,,,,,,,,,,,,
Seq_648_LinJ.21,Seq_649_LinJ.21,Seq_650_LinJ.21,Seq_651_LinJ.21,Seq_652_LinJ.21,Seq_653_LinJ.21,Seq_654_LinJ.21,,,,,,,,,,,,,,,,,
