Seq_242_LinJ.11,Seq_283_LinJ.11,,,,
Seq_243_LinJ.11,Seq_244_LinJ.11,Seq_245_LinJ.11,Seq_246_LinJ.11,,
Seq_247_LinJ.11,,,,,
Seq_248_LinJ.11,,,,,
Seq_249_LinJ.11,Seq_265_LinJ.11,Seq_266_LinJ.11,Seq_267_LinJ.11,,
Seq_250_LinJ.11,Seq_254_LinJ.11,Seq_276_LinJ.11,,,
Seq_251_LinJ.11,Seq_255_LinJ.11,Seq_256_LinJ.11,Seq_257_LinJ.11,Seq_258_LinJ.11,Seq_259_LinJ.11
Seq_252_LinJ.11,Seq_261_LinJ.11,Seq_262_LinJ.11,Seq_263_LinJ.11,Seq_264_LinJ.11,Seq_273_LinJ.11
Seq_253_LinJ.11,Seq_260_LinJ.11,Seq_272_LinJ.11,,,
Seq_268_LinJ.11,,,,,
Seq_269_LinJ.11,,,,,
Seq_270_LinJ.11,,,,,
Seq_271_LinJ.11,,,,,
Seq_274_LinJ.11,Seq_275_LinJ.11,Seq_277_LinJ.11,Seq_278_LinJ.11,Seq_279_LinJ.11,
Seq_280_LinJ.11,Seq_281_LinJ.11,,,,
Seq_282_LinJ.11,,,,,
