Seq_788_LinJ.24,Seq_789_LinJ.24,,,,,,
Seq_790_LinJ.24,Seq_797_LinJ.24,Seq_799_LinJ.24,Seq_800_LinJ.24,Seq_802_LinJ.24,Seq_803_LinJ.24,,
Seq_791_LinJ.24,Seq_795_LinJ.24,Seq_801_LinJ.24,,,,,
Seq_792_LinJ.24,Seq_796_LinJ.24,Seq_801_LinJ.24,Seq_806_LinJ.24,,,,
Seq_793_LinJ.24,,,,,,,
Seq_794_LinJ.24,,,,,,,
Seq_798_LinJ.24,Seq_799_LinJ.24,,,,,,
Seq_790_LinJ.24,Seq_797_LinJ.24,Seq_798_LinJ.24,Seq_799_LinJ.24,Seq_800_LinJ.24,Seq_802_LinJ.24,Seq_803_LinJ.24,
Seq_791_LinJ.24,Seq_792_LinJ.24,Seq_795_LinJ.24,Seq_796_LinJ.24,Seq_801_LinJ.24,Seq_806_LinJ.24,,
Seq_804_LinJ.24,,,,,,,
Seq_805_LinJ.24,Seq_827_LinJ.24,,,,,,
Seq_807_LinJ.24,Seq_808_LinJ.24,Seq_809_LinJ.24,,,,,
Seq_807_LinJ.24,Seq_808_LinJ.24,,,,,,
Seq_807_LinJ.24,Seq_809_LinJ.24,Seq_810_LinJ.24,,,,,
Seq_809_LinJ.24,Seq_810_LinJ.24,,,,,,
Seq_811_LinJ.24,Seq_812_LinJ.24,Seq_813_LinJ.24,Seq_814_LinJ.24,Seq_821_LinJ.24,,,
Seq_811_LinJ.24,Seq_812_LinJ.24,Seq_813_LinJ.24,Seq_814_LinJ.24,,,,
Seq_815_LinJ.24,Seq_816_LinJ.24,Seq_818_LinJ.24,Seq_819_LinJ.24,Seq_821_LinJ.24,Seq_822_LinJ.24,Seq_823_LinJ.24,
Seq_817_LinJ.24,,,,,,,
Seq_820_LinJ.24,,,,,,,
Seq_811_LinJ.24,Seq_815_LinJ.24,Seq_816_LinJ.24,Seq_818_LinJ.24,Seq_819_LinJ.24,Seq_821_LinJ.24,Seq_822_LinJ.24,Seq_823_LinJ.24
Seq_824_LinJ.24,,,,,,,
Seq_825_LinJ.24,Seq_826_LinJ.24,Seq_829_LinJ.24,,,,,
Seq_828_LinJ.24,Seq_830_LinJ.24,,,,,,
Seq_831_LinJ.24,,,,,,,
Seq_832_LinJ.24,Seq_833_LinJ.24,Seq_834_LinJ.24,Seq_835_LinJ.24,,,,
Seq_836_LinJ.24,Seq_837_LinJ.24,Seq_838_LinJ.24,Seq_839_LinJ.24,,,,
