Seq_840_LinJ.25,Seq_842_LinJ.25,Seq_845_LinJ.25,,,,,
Seq_841_LinJ.25,Seq_843_LinJ.25,Seq_844_LinJ.25,,,,,
Seq_846_LinJ.25,,,,,,,
Seq_847_LinJ.25,Seq_848_LinJ.25,Seq_849_LinJ.25,,,,,
Seq_850_LinJ.25,,,,,,,
Seq_851_LinJ.25,Seq_852_LinJ.25,Seq_852_LinJ.25,,,,,
Seq_851_LinJ.25,Seq_851_LinJ.25,Seq_852_LinJ.25,,,,,
Seq_853_LinJ.25,,,,,,,
Seq_854_LinJ.25,,,,,,,
Seq_855_LinJ.25,Seq_856_LinJ.25,,,,,,
Seq_857_LinJ.25,Seq_859_LinJ.25,,,,,,
Seq_858_LinJ.25,Seq_860_LinJ.25,Seq_861_LinJ.25,Seq_862_LinJ.25,Seq_863_LinJ.25,Seq_865_LinJ.25,Seq_866_LinJ.25,Seq_867_LinJ.25
Seq_864_LinJ.25,,,,,,,
Seq_868_LinJ.25,Seq_869_LinJ.25,,,,,,
Seq_870_LinJ.25,Seq_872_LinJ.25,Seq_873_LinJ.25,Seq_874_LinJ.25,Seq_875_LinJ.25,Seq_876_LinJ.25,,
Seq_871_LinJ.25,,,,,,,
Seq_877_LinJ.25,,,,,,,
Seq_878_LinJ.25,,,,,,,
