qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_279_LinJ.24,LinJ.24,100.0,157,1,157,425107,425263,1.07e-78,291.0,157,863815
Seq_279_LinJ.24,LinJ.24,100.0,155,3,157,429834,429988,1.3900000000000001e-77,287.0,157,863815
Seq_279_LinJ.24,LinJ.24,100.0,155,3,157,427473,427627,1.3900000000000001e-77,287.0,157,863815
Seq_279_LinJ.24,LinJ.24,99.363,157,1,157,386177,386333,4.98e-77,285.0,157,863815
Seq_279_LinJ.24,LinJ.29,77.863,131,1,128,1110586,1110708,1.52e-12,71.3,157,1272419
Seq_279_LinJ.24,LinJ.29,77.273,132,2,131,1048608,1048488,7.07e-11,65.8,157,1272419
Seq_279_LinJ.24,LinJ.29,76.692,133,2,131,1083489,1083365,2.54e-10,63.9,157,1272419
Seq_279_LinJ.24,LinJ.29,76.692,133,2,131,1077911,1077787,2.54e-10,63.9,157,1272419
Seq_279_LinJ.24,LinJ.24,97.222,36,1,36,459507,459542,9.14e-10,62.1,157,863815
Seq_279_LinJ.24,LinJ.35,76.984,126,7,128,1949564,1949682,9.14e-10,62.1,157,2019672
Seq_279_LinJ.24,LinJ.24,97.222,36,1,36,464256,464221,9.14e-10,62.1,157,863815
Seq_279_LinJ.24,LinJ.29,76.515,132,3,131,1104395,1104272,9.14e-10,62.1,157,1272419
Seq_279_LinJ.24,LinJ.27,75.188,133,1,133,964001,963873,3.29e-09,60.2,157,1175412
Seq_279_LinJ.24,LinJ.27,75.188,133,1,133,975059,974931,3.29e-09,60.2,157,1175412
Seq_279_LinJ.24,LinJ.27,75.188,133,1,133,961013,960885,3.29e-09,60.2,157,1175412
Seq_279_LinJ.24,LinJ.29,76.336,131,2,131,1066576,1066456,3.29e-09,60.2,157,1272419
Seq_279_LinJ.24,LinJ.27,75.188,133,1,133,1044021,1043893,3.29e-09,60.2,157,1175412
Seq_279_LinJ.24,LinJ.27,75.188,133,1,133,989103,988975,3.29e-09,60.2,157,1175412
Seq_279_LinJ.24,LinJ.24,76.923,117,39,151,780038,780149,1.18e-08,58.4,157,863815
Seq_279_LinJ.24,LinJ.24,77.193,114,42,151,786537,786429,1.18e-08,58.4,157,863815
Seq_279_LinJ.24,LinJ.24,76.923,117,39,151,807071,807182,1.18e-08,58.4,157,863815
Seq_279_LinJ.24,LinJ.24,76.923,117,39,151,775565,775676,1.18e-08,58.4,157,863815
Seq_279_LinJ.24,LinJ.24,97.059,34,3,36,461966,461999,1.18e-08,58.4,157,863815
Seq_279_LinJ.24,LinJ.24,96.97,33,4,36,508077,508109,4.25e-08,56.5,157,863815
Seq_279_LinJ.24,LinJ.31,75.735,136,4,136,1160347,1160222,4.25e-08,56.5,157,1529246
Seq_279_LinJ.24,LinJ.24,96.97,33,4,36,492831,492863,4.25e-08,56.5,157,863815
Seq_279_LinJ.24,LinJ.31,75.735,136,4,136,1143938,1143813,4.25e-08,56.5,157,1529246
Seq_279_LinJ.24,LinJ.27,92.105,38,99,136,695999,696036,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.27,92.105,38,99,136,741666,741703,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.27,92.105,38,99,136,656357,656394,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.27,92.105,38,99,136,663578,663615,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.27,92.105,38,99,136,649136,649173,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.29,94.286,35,106,140,93695,93661,1.53e-07,54.7,157,1272419
Seq_279_LinJ.24,LinJ.29,94.286,35,106,140,102135,102101,1.53e-07,54.7,157,1272419
Seq_279_LinJ.24,LinJ.27,74.615,130,4,133,944727,944602,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.27,74.615,130,4,133,945992,945867,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.27,92.105,38,99,136,670800,670837,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.34,81.159,69,82,149,237351,237419,1.53e-07,54.7,157,1852095
Seq_279_LinJ.24,LinJ.27,76.786,112,47,153,580668,580562,1.53e-07,54.7,157,1175412
Seq_279_LinJ.24,LinJ.29,94.286,35,106,140,84308,84274,1.53e-07,54.7,157,1272419
Seq_279_LinJ.24,LinJ.29,94.286,35,106,140,133471,133437,1.53e-07,54.7,157,1272419
Seq_279_LinJ.24,LinJ.29,94.286,35,106,140,154375,154341,1.53e-07,54.7,157,1272419
Seq_279_LinJ.24,LinJ.21,73.81,168,1,157,655583,655746,5.5e-07,52.8,157,764861
Seq_279_LinJ.24,LinJ.34,86.275,51,104,151,288715,288764,5.5e-07,52.8,157,1852095
Seq_279_LinJ.24,LinJ.29,75.61,123,9,128,1106687,1106803,5.5e-07,52.8,157,1272419
Seq_279_LinJ.24,LinJ.29,75.61,123,9,128,1113200,1113316,5.5e-07,52.8,157,1272419
