Seq_668_LinJ.22,,,,,,,,,,,,,,,
Seq_669_LinJ.22,,,,,,,,,,,,,,,
Seq_670_LinJ.22,,,,,,,,,,,,,,,
Seq_671_LinJ.22,Seq_673_LinJ.22,,,,,,,,,,,,,,
Seq_672_LinJ.22,,,,,,,,,,,,,,,
Seq_674_LinJ.22,,,,,,,,,,,,,,,
Seq_675_LinJ.22,,,,,,,,,,,,,,,
Seq_676_LinJ.22,Seq_677_LinJ.22,Seq_678_LinJ.22,,,,,,,,,,,,,
Seq_680_LinJ.22,Seq_701_LinJ.22,,,,,,,,,,,,,,
Seq_682_LinJ.22,Seq_683_LinJ.22,Seq_685_LinJ.22,Seq_686_LinJ.22,Seq_688_LinJ.22,Seq_689_LinJ.22,Seq_690_LinJ.22,Seq_692_LinJ.22,Seq_694_LinJ.22,Seq_699_LinJ.22,Seq_700_LinJ.22,Seq_704_LinJ.22,,,,
Seq_691_LinJ.22,Seq_693_LinJ.22,Seq_695_LinJ.22,Seq_696_LinJ.22,,,,,,,,,,,,
Seq_697_LinJ.22,,,,,,,,,,,,,,,
Seq_698_LinJ.22,,,,,,,,,,,,,,,
Seq_679_LinJ.22,Seq_681_LinJ.22,Seq_682_LinJ.22,Seq_684_LinJ.22,Seq_685_LinJ.22,Seq_687_LinJ.22,Seq_688_LinJ.22,Seq_690_LinJ.22,Seq_694_LinJ.22,Seq_700_LinJ.22,Seq_704_LinJ.22,,,,,
Seq_702_LinJ.22,,,,,,,,,,,,,,,
Seq_703_LinJ.22,,,,,,,,,,,,,,,
Seq_705_LinJ.22,,,,,,,,,,,,,,,
Seq_706_LinJ.22,Seq_707_LinJ.22,Seq_709_LinJ.22,,,,,,,,,,,,,
Seq_708_LinJ.22,Seq_711_LinJ.22,,,,,,,,,,,,,,
Seq_710_LinJ.22,Seq_716_LinJ.22,,,,,,,,,,,,,,
Seq_712_LinJ.22,Seq_713_LinJ.22,Seq_714_LinJ.22,Seq_715_LinJ.22,,,,,,,,,,,,
Seq_717_LinJ.22,,,,,,,,,,,,,,,
Seq_718_LinJ.22,,,,,,,,,,,,,,,
Seq_719_LinJ.22,,,,,,,,,,,,,,,
R,e,p,e,a,t,e,d, ,v,a,l,u,e,s,:
Seq_682_LinJ.22,2,Seq_685_LinJ.22,2,Seq_688_LinJ.22,2,Seq_690_LinJ.22,2,Seq_694_LinJ.22,2,Seq_700_LinJ.22,2,Seq_704_LinJ.22,2,,
