Seq_463_LinJ.18,Seq_468_LinJ.18,,,,,,,,,,,,,,
Seq_464_LinJ.18,Seq_466_LinJ.18,,,,,,,,,,,,,,
Seq_465_LinJ.18,Seq_467_LinJ.18,Seq_470_LinJ.18,Seq_471_LinJ.18,Seq_472_LinJ.18,Seq_473_LinJ.18,Seq_475_LinJ.18,Seq_482_LinJ.18,,,,,,,,
Seq_469_LinJ.18,,,,,,,,,,,,,,,
Seq_474_LinJ.18,,,,,,,,,,,,,,,
Seq_476_LinJ.18,Seq_481_LinJ.18,,,,,,,,,,,,,,
Seq_477_LinJ.18,,,,,,,,,,,,,,,
Seq_478_LinJ.18,Seq_479_LinJ.18,,,,,,,,,,,,,,
Seq_484_LinJ.18,,,,,,,,,,,,,,,
Seq_480_LinJ.18,Seq_483_LinJ.18,Seq_485_LinJ.18,,,,,,,,,,,,,
Seq_486_LinJ.18,Seq_491_LinJ.18,Seq_492_LinJ.18,Seq_494_LinJ.18,Seq_503_LinJ.18,,,,,,,,,,,
Seq_488_LinJ.18,Seq_493_LinJ.18,Seq_508_LinJ.18,Seq_517_LinJ.18,,,,,,,,,,,,
Seq_489_LinJ.18,,,,,,,,,,,,,,,
Seq_490_LinJ.18,Seq_495_LinJ.18,,,,,,,,,,,,,,
Seq_486_LinJ.18,Seq_487_LinJ.18,Seq_491_LinJ.18,Seq_501_LinJ.18,Seq_502_LinJ.18,Seq_505_LinJ.18,Seq_505_LinJ.18,,,,,,,,,
Seq_496_LinJ.18,Seq_498_LinJ.18,Seq_499_LinJ.18,Seq_500_LinJ.18,,,,,,,,,,,,
Seq_497_LinJ.18,Seq_504_LinJ.18,Seq_506_LinJ.18,Seq_507_LinJ.18,Seq_513_LinJ.18,Seq_514_LinJ.18,Seq_515_LinJ.18,Seq_516_LinJ.18,,,,,,,,
Seq_509_LinJ.18,Seq_518_LinJ.18,,,,,,,,,,,,,,
Seq_510_LinJ.18,Seq_511_LinJ.18,Seq_512_LinJ.18,,,,,,,,,,,,,
Seq_519_LinJ.18,,,,,,,,,,,,,,,
R,e,p,e,a,t,e,d, ,v,a,l,u,e,s,:
Seq_486_LinJ.18,2,Seq_491_LinJ.18,2,Seq_505_LinJ.18,2,,,,,,,,,,
